player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_40a03d21_40e3_4439_bc6e_66ac08bf05ff,raw_40a03d21_40e3_4439_bc6e_66ac08bf05ff,Ben Rutton,Ben Rutton,0,0,0,0/12,0,12
raw_b4156dbf_b538_4a28_924e_7eee4915ec7e,raw_b4156dbf_b538_4a28_924e_7eee4915ec7e,Ben Ryan,Ben Ryan,6,0,0,3/3,3,3
raw_223fa03d_3d9f_427f_bcb8_cbabfaa65791,raw_223fa03d_3d9f_427f_bcb8_cbabfaa65791,Ben Staggs,Ben Staggs,3,1,0,5/37,5,37
raw_5b5f4a95_672b_4e0d_a0df_cabdb0adadfd,raw_5b5f4a95_672b_4e0d_a0df_cabdb0adadfd,Ben Stewart-Tonkin,Ben Stewart-Tonkin,2,1,0,6/7,6,7
raw_b711be2e_8c4e_4157_8125_440d84d53e6c,raw_b711be2e_8c4e_4157_8125_440d84d53e6c,Ben Swadling,Ben Swadling,0,0,0,1/1,1,1
raw_daca9c8e_5540_4ba8_b89d_97651d99a195,raw_daca9c8e_5540_4ba8_b89d_97651d99a195,Ben Worrall,Ben Worrall,5,0,0,3/5,3,5
raw_5881dfa3_a530_43bd_a3f2_ec58037e193a,raw_5881dfa3_a530_43bd_a3f2_ec58037e193a,Benjamin Brown,Benjamin Brown,3,0,0,4/20,4,20
benjamin_bullimore,benjamin_bullimore,Benjamin Bullimore,Benjamin Bullimore,1,0,0,3/18,3,18
raw_b2cedc68_089b_4c05_9a04_67d9dda8acfe,raw_b2cedc68_089b_4c05_9a04_67d9dda8acfe,Benjamin James,Benjamin James,1,0,0,4/7,4,7
raw_bf0368d4_e355_4aaf_928e_70dbac09a492,raw_bf0368d4_e355_4aaf_928e_70dbac09a492,Benjamin Kennedy,Benjamin Kennedy,1,0,0,3/5,3,5
raw_cb6f7c36_2dd7_4df3_82a9_542d7be86b85,raw_cb6f7c36_2dd7_4df3_82a9_542d7be86b85,Benjamin O'Rourke,Benjamin O'Rourke,0,0,0,2/21,2,21
raw_fc234a73_9671_4989_b3d9_6e740af125a7,raw_fc234a73_9671_4989_b3d9_6e740af125a7,Benjamin Stewart,Benjamin Stewart,0,1,0,5/20,5,20
raw_82dc6ea1_d58e_4628_9eff_1940c0844976,raw_82dc6ea1_d58e_4628_9eff_1940c0844976,Benjamin Weger,Benjamin Weger,0,0,0,1/3,1,3
