canonical_player_id,canonical_player_name,display_player_name,premiership_count,seasons,grades,teams,latest_premiership_season,evidence_match_ids,confidence
raw_c1994347_91e2_4dbd_b7b7_bb61de32518b,Daniel Joy,Daniel Joy,2,"Summer 2011/12, Summer 2014/15",ISC Teamwear LO Division 4,Reynella,Summer 2014/15,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 8de807a5-e259-4b54-b9a7-e7cab16b025e",high
raw_53240ccc_820f_4a76_94a6_d512e07b503f,Marcus Williams,Marcus Williams,2,"Summer 2012/13, Summer 2014/15","A3 Grade, ISC Teamwear LO Division 4",Reynella,Summer 2014/15,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, 8de807a5-e259-4b54-b9a7-e7cab16b025e",high
raw_613ff757_823d_470c_9a90_e316a8b7ca53,Mark Nankervis,Mark Nankervis,2,"Summer 2012/13, Summer 2014/15","A3 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
raw_6de263a3_256a_48eb_9957_5fc29f9c982f,Robert Colville,Robert Colville,2,"Summer 2012/13, Summer 2014/15","A3 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
raw_1540437c_7d5f_4916_bebb_13a43096322c,Sam Tugwell,Sam Tugwell,2,"Summer 2012/13, Summer 2014/15","B2 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"3db4f68e-863f-4587-8b89-b1d3d3df32df, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
wayne_copley,Wayne Copley,Wayne Copley,2,"Summer 2012/13, Summer 2014/15","B2 Grade, ISC Teamwear LO Division 4",Reynella,Summer 2014/15,"3db4f68e-863f-4587-8b89-b1d3d3df32df, 8de807a5-e259-4b54-b9a7-e7cab16b025e",high
raw_e9fdafeb_e5f4_43e8_b4b6_6a508dda73f4,Damien Pimlott,Damien Pimlott,2,"Summer 2008/09, Summer 2012/13",A3 Grade,Reynella,Summer 2012/13,"1a77c5bc-3848-4180-a0b9-ea12185d708b, 1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3",high
raw_9666f7ba_1f30_435c_9fc3_a0a6cafc6389,Steve Routledge,Steve Routledge,2,"Summer 2011/12, Summer 2012/13","ISC Teamwear LO Division 4, B2 Grade",Reynella,Summer 2012/13,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 3db4f68e-863f-4587-8b89-b1d3d3df32df",high
raw_6fc5bf6c_5304_4522_8bf7_2a99bf9c49b9,Ian Inwood,Ian Inwood,2,"Summer 2008/09, Summer 2011/12","ISC Teamwear LO Division 4, A3 Grade",Reynella,Summer 2011/12,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 1a77c5bc-3848-4180-a0b9-ea12185d708b",high
raw_10a9c7ed_c41a_4c95_a027_636ee2122ed0,Keiren Fitzgerald,Keiren Fitzgerald,2,"Summer 2008/09, Summer 2011/12","ISC Teamwear LO Division 4, A3 Grade",Reynella,Summer 2011/12,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 1a77c5bc-3848-4180-a0b9-ea12185d708b",high
aidan_richardson,Aidan Richardson,Aidan Richardson,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
brock_carlisle,Brock Carlisle,Brock Carlisle,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
raw_2220f59a_9c50_4a6b_83d0_0988d12f920d,Daniel O'Loughlin,Daniel O'Loughlin,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
felix_lilith_spring,Felix Lilith-Spring,Felix Lilith-Spring,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
flynn_maher,Flynn Maher,Flynn Maher,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
harrison_glatter,Harrison Glatter,Harrison Glatter,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
harry_tonkin,Harry Tonkin,Harry Tonkin,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
raw_91acefac_f204_4d47_81ba_a8e3a5883683,Isaac Ritter,Isaac Ritter,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
raw_d6f59fa9_3de7_446c_b927_ff629e0de942,Jake Walford,Jake Walford,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
jayden_hower,Jayden Hower,Jayden Hower,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
max_tonkin,Max Tonkin,Max Tonkin,1,Summer 2020/21,Under 14 South Division 2,Reynella (2) Riley,Summer 2020/21,41526958-751c-4091-a082-eaf6938e0628,high
ashleigh_carey,Ashleigh Carey,Ashleigh Carey,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_f7b5d072_df3b_4c2b_a9be_d2c74850f62d,Brooke Mullen,Brooke Mullen,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_8b9d583e_24dd_41cd_8300_d1e447de2a0d,Emily Archer,Emily Archer,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_e5e24a6e_f1c0_4fa6_93c8_d9ecf92c0035,Glenys Gabb,Glenys Gabb,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_9112f6b1_ab92_4058_a89f_0096008547a8,Hallie Charlton,Hallie Charlton,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
jo_cooke,Jo Cooke,Jo Cooke,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_575f1ed8_c79d_41ac_9deb_0aa64c03281f,Karley Egan,Karley Egan,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_b2dbdd66_815c_4e85_85e7_7758057c255f,Katrina Vlachos,Katrina Vlachos,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_2c466c78_9334_49eb_adc3_b76e7dbcc9ca,Kristy Rochow,Kristy Rochow,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_e0729413_5ab1_45fe_b07d_97a29adf5541,Samantha Gilbertson,Samantha Gilbertson,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_40b4a8bf_b0c6_4412_a099_e9216ada17f6,Skye Venables,Skye Venables,1,Summer 2018/19,Womens 1st Grade 2019,Reynella,Summer 2018/19,da741544-58c6-4052-9f1b-17874345b283,high
raw_b4156dbf_b538_4a28_924e_7eee4915ec7e,Ben Ryan,Ben Ryan,1,Summer 2016/17,Under 15 South Division 2,Reynella,Summer 2016/17,9c2ca915-f12e-42d7-b9f1-222771e91b85,high
raw_ab958602_5754_4bb1_838b_ae216f23e08b,Jake Slizankiewicz,Jake Slizankiewicz,1,Summer 2016/17,Under 15 South Division 2,Reynella,Summer 2016/17,9c2ca915-f12e-42d7-b9f1-222771e91b85,high
jake_thyssen,Jake Thyssen,Jake Thyssen,1,Summer 2016/17,Under 15 South Division 2,Reynella,Summer 2016/17,9c2ca915-f12e-42d7-b9f1-222771e91b85,high
raw_6b908b4e_1d1a_4919_bea7_378e450b935d,Jonathon Hague,Jonathon Hague,1,Summer 2016/17,B1 Grade,Reynella,Summer 2016/17,ceed987b-30fc-475e-9132-7a6144eb44c5,high
raw_2d74415e_3504_4fd6_9752_5535c4ea7d3e,Kane Marshall,Kane Marshall,1,Summer 2016/17,Under 15 South Division 2,Reynella,Summer 2016/17,9c2ca915-f12e-42d7-b9f1-222771e91b85,high
