player_id,player_name,canonical_player_name,match_id,innings_id,participant_id,match_date,season,team_name,grade_name,opposition_team,venue_name,match_type,final_runs,final_balls,final_score_display,balls_to_25,balls_to_50,balls_to_100,balls_to_150,team_runs,team_run_contribution_pct,result_text,is_not_out,runs_source_used,balls_faced_source_used,source_ball_by_ball_available
cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,Siddhesh Jitendrabhai vadapalli,2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,2025-05-24,Winter 2025,Fiji Victorian CC Winter XI,North Division,Darebin Chargers Cricket Club,T.W. Blake Park,One Day,50,67,50*,21,67.0,,,192.0,26.041666666666668,Darebin Chargers Red won by 29 runs,True,derived_runs_bat,source_cumulative_validated,True
d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,Armaan Datta,fbd6e9ad-55b7-4dbd-9810-3e1c4e5bedb7,cab4578f-edba-4a50-a24f-945e61822468,d1ed36b2-499d-4b65-95a3-6f3f51177415,2025-05-10,Winter 2025,Fiji Victorian CC Winter XI,North Division,Jafari Sports Club,Thomastown East Reserve,One Day,31,24,31,20,,,,166.0,18.674698795180724,Jafari SC won by 42 runs,False,derived_runs_bat,source_cumulative_validated,True
7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,Jai Bhan,fbd6e9ad-55b7-4dbd-9810-3e1c4e5bedb7,cab4578f-edba-4a50-a24f-945e61822468,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,2025-05-10,Winter 2025,Fiji Victorian CC Winter XI,North Division,Jafari Sports Club,Thomastown East Reserve,One Day,67,70,67,31,56.0,,,166.0,40.36144578313253,Jafari SC won by 42 runs,False,derived_runs_bat,source_cumulative_validated,True
d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,Armaan Datta,8918a26c-cd36-4671-93a6-6aeac6a57e98,412ab85a-c603-4648-8a31-6d1ec7fdaaed,d1ed36b2-499d-4b65-95a3-6f3f51177415,2025-05-03,Winter 2025,Fiji Victorian CC Winter XI,North Division,Reservoir Cobras Cricket Club,T.W. Blake Park,One Day,53,36,53*,21,36.0,,,191.0,27.74869109947644,Reservoir Cobras won by 4 wickets,True,derived_runs_bat,source_cumulative_validated,True
6b74d336-b105-407c-b4ef-f68e2fba7862,Damandeep Sehra,Damandeep Sehra,8918a26c-cd36-4671-93a6-6aeac6a57e98,412ab85a-c603-4648-8a31-6d1ec7fdaaed,6b74d336-b105-407c-b4ef-f68e2fba7862,2025-05-03,Winter 2025,Fiji Victorian CC Winter XI,North Division,Reservoir Cobras Cricket Club,T.W. Blake Park,One Day,32,63,32,56,,,,191.0,16.75392670157068,Reservoir Cobras won by 4 wickets,False,derived_runs_bat,source_cumulative_validated,True
7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,Jai Bhan,8918a26c-cd36-4671-93a6-6aeac6a57e98,412ab85a-c603-4648-8a31-6d1ec7fdaaed,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,2025-05-03,Winter 2025,Fiji Victorian CC Winter XI,North Division,Reservoir Cobras Cricket Club,T.W. Blake Park,One Day,32,31,32,19,,,,191.0,16.75392670157068,Reservoir Cobras won by 4 wickets,False,derived_runs_bat,source_cumulative_validated,True
baurel_d_mello,Baurel Dmello,Baurel D'Mello,507c4528-da9a-4669-be90-7748f6585a2f,b9864f5f-43be-4575-83c4-9c76c8fb30f6,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,2025-03-22,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Olympic Colts Cricket Club,Ford Park,Two Day,27,57,27,50,,,,124.0,21.774193548387096,Olympic Colts CC 1st XI won by 70 runs,False,derived_runs_bat,source_cumulative_validated,True
7b43011a-eb05-448f-93c9-644481721a69,Jude Mendiz,Jude Mendiz,507c4528-da9a-4669-be90-7748f6585a2f,b9864f5f-43be-4575-83c4-9c76c8fb30f6,7b43011a-eb05-448f-93c9-644481721a69,2025-03-22,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Olympic Colts Cricket Club,Ford Park,Two Day,28,59,28,49,,,,124.0,22.580645161290324,Olympic Colts CC 1st XI won by 70 runs,False,derived_runs_bat,derived_legal_balls,True
162cce2f-a5bb-451f-ab68-d7a037f018ee,Benjamin Frew,Benjamin Frew,e22cb887-d753-4f51-974b-d39da3b301aa,5c5c1c79-cfb1-4ac0-83ed-7d3b3b3352fd,162cce2f-a5bb-451f-ab68-d7a037f018ee,2025-03-15,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,West Preston Cricket Club,C.H. Sullivan Memorial Park,Two Day,58,110,58,91,106.0,,,212.0,27.358490566037737,Match drawn,False,derived_runs_bat,source_cumulative_validated,True
ab033f7b-82e2-4044-b0cb-9024cf56db51,Reuel Sharan,Reuel Sharan,e22cb887-d753-4f51-974b-d39da3b301aa,5c5c1c79-cfb1-4ac0-83ed-7d3b3b3352fd,ab033f7b-82e2-4044-b0cb-9024cf56db51,2025-03-15,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,West Preston Cricket Club,C.H. Sullivan Memorial Park,Two Day,37,71,37,49,,,,212.0,17.452830188679247,Match drawn,False,derived_runs_bat,source_cumulative_validated,True
baurel_d_mello,Baurel Dmello,Baurel D'Mello,e2abe420-3238-40e1-9a8d-4d33b4f76b62,fae4eabf-e305-4f1f-a3e4-2345157fdcf7,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,2025-03-08,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Olympic Colts Cricket Club,C.H. Sullivan Memorial Park,Two Day,43,40,43,28,,,,162.0,26.54320987654321,Fiji Victorian CC 1st XI won by 2 wickets,False,derived_runs_bat,source_cumulative_validated,True
ibad_mohammed,Ibad Mohammed,Ibad Mohammed,4fab4eac-5bde-4381-9993-9fa16c2de648,791bafb9-7827-4f22-8f60-e7389d169aaa,329c4a39-9c6d-4eac-a9ef-b146c37f497c,2025-03-08,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Northern Socials Cricket Club,W. Ruthven VC Reserve,Two Day,53,69,53,30,58.0,,,142.0,37.32394366197183,Northern Socials CC 1st XI won by 6 wickets,False,derived_runs_bat,source_cumulative_validated,True
7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,Jai Bhan,e2abe420-3238-40e1-9a8d-4d33b4f76b62,fae4eabf-e305-4f1f-a3e4-2345157fdcf7,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,2025-03-08,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Olympic Colts Cricket Club,C.H. Sullivan Memorial Park,Two Day,35,77,35,49,,,,162.0,21.604938271604937,Fiji Victorian CC 1st XI won by 2 wickets,False,derived_runs_bat,derived_legal_balls,True
cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,Siddhesh Jitendrabhai vadapalli,fc9612a0-2ff7-4c9c-8f6b-04b74bf61a34,e79e85a4-e171-4fd7-bd1f-6b07a9da0786,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,2025-03-01,Summer 2024/25,Fiji Victorian CC OD,08 - Robert Young DODC,Bellfield Rocketz Cricket Club,C.H. Sullivan Memorial Park,One Day,34,38,34,28,,,,134.0,25.37313432835821,Bellfield Rocketz CC OD won by 28 runs,False,derived_runs_bat,source_cumulative_validated,True
162cce2f-a5bb-451f-ab68-d7a037f018ee,Benjamin Frew,Benjamin Frew,c98324bb-ac06-46e4-90ee-9bc3ec8a9534,1d1d633d-72ec-4e5a-a36c-747310868d68,162cce2f-a5bb-451f-ab68-d7a037f018ee,2025-02-22,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Old Ivanhoe Grammarians Cricket Club,C.H. Sullivan Memorial Park,Two Day,27,19,27*,19,,,,110.0,24.545454545454547,Fiji Victorian CC 2nd XI won by 6 wickets,True,derived_runs_bat,source_cumulative_validated,True
7512873c-b6b6-49fe-80ff-3733b5abd044,Mohaneesh Pitre,Mohaneesh Pitre,aea72fdb-d3ce-48e4-8485-a8d6103189ee,dc9f9a4a-8fda-4f6a-b4e8-3a61ba3b4d54,7512873c-b6b6-49fe-80ff-3733b5abd044,2025-02-22,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Fairfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,33,68,33*,62,,,,247.0,13.360323886639677,Fiji Victorian CC 3rd XI won by 83 runs,True,derived_runs_bat,source_cumulative_validated,True
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,aea72fdb-d3ce-48e4-8485-a8d6103189ee,dc9f9a4a-8fda-4f6a-b4e8-3a61ba3b4d54,b9bf46f1-7801-4a56-a051-c9ccf5725212,2025-02-22,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Fairfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,62,72,62,41,61.0,,,247.0,25.101214574898787,Fiji Victorian CC 3rd XI won by 83 runs,False,derived_runs_bat,source_cumulative_validated,True
f6dd9552-fbc5-4490-ac27-b50ff948f8f5,Priyanshu Tomar,Priyanshu Tomar,2b4bebea-66a5-4a22-91e1-eb84052cb74f,9f810747-eb47-4d24-ab71-4bf65b4570c4,f6dd9552-fbc5-4490-ac27-b50ff948f8f5,2025-02-22,Summer 2024/25,Fiji Victorian CC OD,08 - Robert Young DODC,Preston Baseballers Cricket Club,H.L.T. Oulten Park,One Day,45,80,45,48,,,,86.0,52.325581395348834,Preston Baseballers CC OD won by 71 runs,False,derived_runs_bat,source_cumulative_validated,True
232cc042-1e4c-423a-9190-e3432698c99d,Reuben Sharan,Reuben Sharan,aea72fdb-d3ce-48e4-8485-a8d6103189ee,dc9f9a4a-8fda-4f6a-b4e8-3a61ba3b4d54,232cc042-1e4c-423a-9190-e3432698c99d,2025-02-22,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Fairfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,39,82,39,71,,,,247.0,15.789473684210526,Fiji Victorian CC 3rd XI won by 83 runs,False,derived_runs_bat,source_cumulative_validated,True
kieran_bhan,Kieran Bhan,Kieran Bhan,a75bd76d-c540-4d96-ae90-107d1bad4e81,ca85b583-6a41-4bfa-bb80-bccda4016a99,dcbfab3f-24d3-4add-be5d-6946adb5d18b,2025-02-08,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Royal Park Reds Cricket Club,C.H. Sullivan Memorial Park,Two Day,40,53,40,32,,,,256.0,15.625,Fiji Victorian CC 3rd XI won by 186 runs,False,derived_runs_bat,source_cumulative_validated,True
cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,Siddhesh Jitendrabhai vadapalli,a75bd76d-c540-4d96-ae90-107d1bad4e81,ca85b583-6a41-4bfa-bb80-bccda4016a99,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,2025-02-08,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Royal Park Reds Cricket Club,C.H. Sullivan Memorial Park,Two Day,50,51,50,40,50.0,,,256.0,19.53125,Fiji Victorian CC 3rd XI won by 186 runs,False,derived_runs_bat,source_cumulative_validated,True
0ceda279-1aad-42cd-a342-75c5faf3ad14,Vineeth Yamani,Vineeth Yamani,a75bd76d-c540-4d96-ae90-107d1bad4e81,ca85b583-6a41-4bfa-bb80-bccda4016a99,0ceda279-1aad-42cd-a342-75c5faf3ad14,2025-02-08,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Royal Park Reds Cricket Club,C.H. Sullivan Memorial Park,Two Day,48,55,48,36,,,,256.0,18.75,Fiji Victorian CC 3rd XI won by 186 runs,False,derived_runs_bat,source_cumulative_validated,True
vinit_naidu,Vinit Naidu,Vinit Naidu,a75bd76d-c540-4d96-ae90-107d1bad4e81,ca85b583-6a41-4bfa-bb80-bccda4016a99,0ae1d4fd-a68b-4131-9403-d1ecdd947553,2025-02-08,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Royal Park Reds Cricket Club,C.H. Sullivan Memorial Park,Two Day,46,55,46,37,,,,256.0,17.96875,Fiji Victorian CC 3rd XI won by 186 runs,False,derived_runs_bat,source_cumulative_validated,True
ashish_sharma,Ashish Sharma,Ashish Sharma,51864f80-b7d6-495a-9a33-758537c568c4,ec7d0220-3027-4ecf-b9a6-384bb651b5bd,1213eb90-9ab2-42db-b52a-865b0dfa7ea3,2025-02-01,Summer 2024/25,Fiji Victorian CC OD,08 - Robert Young DODC,Camrea Cricket Club,C.H. Sullivan Memorial Park,One Day,30,42,30,32,,,,117.0,25.641025641025642,Camrea CC OD won by 5 wickets,False,derived_runs_bat,source_cumulative_validated,True
162cce2f-a5bb-451f-ab68-d7a037f018ee,Benjamin Frew,Benjamin Frew,51864f80-b7d6-495a-9a33-758537c568c4,ec7d0220-3027-4ecf-b9a6-384bb651b5bd,162cce2f-a5bb-451f-ab68-d7a037f018ee,2025-02-01,Summer 2024/25,Fiji Victorian CC OD,08 - Robert Young DODC,Camrea Cricket Club,C.H. Sullivan Memorial Park,One Day,25,35,25,33,,,,117.0,21.367521367521366,Camrea CC OD won by 5 wickets,False,derived_runs_bat,source_cumulative_validated,True
c3a31191-6c5e-438e-9288-354845031832,Abcin Thomas,Abcin Thomas,51b4bfe6-b438-41ec-862a-1dfaca0afd9c,78d1a77d-2427-4d9b-80b5-c12702632d1f,c3a31191-6c5e-438e-9288-354845031832,2025-01-25,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Ivanhoe Mavericks Cricket Club,I.W. Dole Reserve,Two Day,50,96,50,76,95.0,,,200.0,25.0,Fiji Victorian CC 2nd XI won by 1 wickets,False,derived_runs_bat,source_cumulative_validated,True
baurel_d_mello,Baurel Dmello,Baurel D'Mello,4d2b7b8a-d6f6-49d3-b36e-539c9470303a,0b969b88-d50a-4fcf-94fd-ce9e08c95f41,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,2025-01-25,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Bellfield Cricket Club,Ford Park,Two Day,49,44,49,34,,,,158.0,31.0126582278481,Fiji Victorian CC 3rd XI won by 1 wickets,False,derived_runs_bat,source_cumulative_validated,True
danny_singh,Danny Singh,Danny Singh,cf671dfb-54fb-4b48-affb-cc0aa04f0415,87f1956c-619a-4d9e-906d-b5d388901a63,b47cab94-0a21-43b5-ace2-ee06304e1880,2025-01-25,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Bellfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,43,95,43,64,,,,232.0,18.53448275862069,Fiji Victorian CC 1st XI won by 73 runs,False,derived_runs_bat,source_cumulative_validated,True
7b43011a-eb05-448f-93c9-644481721a69,Jude Mendiz,Jude Mendiz,cf671dfb-54fb-4b48-affb-cc0aa04f0415,87f1956c-619a-4d9e-906d-b5d388901a63,7b43011a-eb05-448f-93c9-644481721a69,2025-01-25,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Bellfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,75,116,75,39,90.0,,,232.0,32.327586206896555,Fiji Victorian CC 1st XI won by 73 runs,False,derived_runs_bat,source_cumulative_validated,True
kieran_bhan,Kieran Bhan,Kieran Bhan,4d2b7b8a-d6f6-49d3-b36e-539c9470303a,0b969b88-d50a-4fcf-94fd-ce9e08c95f41,dcbfab3f-24d3-4add-be5d-6946adb5d18b,2025-01-25,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Bellfield Cricket Club,Ford Park,Two Day,31,80,31,59,,,,158.0,19.620253164556964,Fiji Victorian CC 3rd XI won by 1 wickets,False,derived_runs_bat,source_cumulative_validated,True
360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Shandil Bhan,Shandil Bhan,cf671dfb-54fb-4b48-affb-cc0aa04f0415,87f1956c-619a-4d9e-906d-b5d388901a63,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,2025-01-25,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Bellfield Cricket Club,C.H. Sullivan Memorial Park,Two Day,37,44,37,33,,,,232.0,15.948275862068966,Fiji Victorian CC 1st XI won by 73 runs,False,derived_runs_bat,source_cumulative_validated,True
shivnyl_naidu,Shivnyl Naidu,Shivnyl Naidu,51b4bfe6-b438-41ec-862a-1dfaca0afd9c,78d1a77d-2427-4d9b-80b5-c12702632d1f,0088757e-fda0-4f72-92d4-e11bee03919b,2025-01-25,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Ivanhoe Mavericks Cricket Club,I.W. Dole Reserve,Two Day,45,138,45,83,,,,200.0,22.5,Fiji Victorian CC 2nd XI won by 1 wickets,False,derived_runs_bat,source_cumulative_validated,True
vinay_sharma,Vinay Sharma,Vinay Sharma,51b4bfe6-b438-41ec-862a-1dfaca0afd9c,78d1a77d-2427-4d9b-80b5-c12702632d1f,48e8fdbd-e7b0-494e-a10b-6171895884c5,2025-01-25,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Ivanhoe Mavericks Cricket Club,I.W. Dole Reserve,Two Day,28,33,28,30,,,,200.0,14.0,Fiji Victorian CC 2nd XI won by 1 wickets,False,derived_runs_bat,source_cumulative_validated,True
8cc72ac1-93ab-43ad-a24f-fdcbf14da6a2,Kiran Tomy,Kiran Tomy,b165d1fa-46e2-4b93-9efd-0bd0ba4c1572,726b9a51-b9c3-46c4-b697-873578bc5cd3,8cc72ac1-93ab-43ad-a24f-fdcbf14da6a2,2025-01-18,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Old Ivanhoe Grammarians Cricket Club,C.H. Sullivan Memorial Park,One Day,30,36,30,31,,,,130.0,23.076923076923077,Old Ivanhoe Grammarians CC 3rd XI won by 4 wickets,False,derived_runs_bat,source_cumulative_validated,True
661bdd19-e67a-4978-a255-36e16789ab1f,Nitin Tanwar,Nitin Tanwar,49f2ced5-7946-45a9-bb1a-b9cc703e08fe,f6233fd4-3ae0-40b6-9c07-ab375e834d4c,661bdd19-e67a-4978-a255-36e16789ab1f,2025-01-18,Summer 2024/25,Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,Old Ivanhoe Grammarians Cricket Club,C.H. Sullivan Memorial Park,One Day,32,37,32*,29,,,,67.0,47.76119402985075,Fiji Victorian CC 2nd XI won by 7 wickets,True,derived_runs_bat,source_cumulative_validated,True
cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,Siddhesh Jitendrabhai vadapalli,b165d1fa-46e2-4b93-9efd-0bd0ba4c1572,726b9a51-b9c3-46c4-b697-873578bc5cd3,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,2025-01-18,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Old Ivanhoe Grammarians Cricket Club,C.H. Sullivan Memorial Park,One Day,34,71,34,55,,,,130.0,26.153846153846153,Old Ivanhoe Grammarians CC 3rd XI won by 4 wickets,False,derived_runs_bat,source_cumulative_validated,True
36bd035f-14ab-4cff-9bbb-45289a642206,Yuvraj Maharaj,Yuvraj Maharaj,b165d1fa-46e2-4b93-9efd-0bd0ba4c1572,726b9a51-b9c3-46c4-b697-873578bc5cd3,36bd035f-14ab-4cff-9bbb-45289a642206,2025-01-18,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",Old Ivanhoe Grammarians Cricket Club,C.H. Sullivan Memorial Park,One Day,25,26,25*,26,,,,130.0,19.23076923076923,Old Ivanhoe Grammarians CC 3rd XI won by 4 wickets,True,derived_runs_bat,source_cumulative_validated,True
kieran_bhan,Kieran Bhan,Kieran Bhan,b7942395-e36d-48b6-a4c5-29754f30b66f,2f04a9d7-6fff-4156-9759-dd7e0e4cde5b,dcbfab3f-24d3-4add-be5d-6946adb5d18b,2025-01-11,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",West Preston Cricket Club,C.H. Sullivan Memorial Park,T20,63,49,63*,23,39.0,,,130.0,48.46153846153846,Fiji Victorian CC 3rd XI won by 9 wickets,True,derived_runs_bat,source_cumulative_validated,True
661bdd19-e67a-4978-a255-36e16789ab1f,Nitin Tanwar,Nitin Tanwar,b7942395-e36d-48b6-a4c5-29754f30b66f,2f04a9d7-6fff-4156-9759-dd7e0e4cde5b,661bdd19-e67a-4978-a255-36e16789ab1f,2025-01-11,Summer 2024/25,Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",West Preston Cricket Club,C.H. Sullivan Memorial Park,T20,29,28,29,23,,,,130.0,22.307692307692307,Fiji Victorian CC 3rd XI won by 9 wickets,False,derived_runs_bat,source_cumulative_validated,True
baurel_d_mello,Baurel Dmello,Baurel D'Mello,32d43958-3e1d-4269-807c-2b08552515ce,c859b614-2741-402b-83c3-d1ae9571584d,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,2024-12-21,Summer 2024/25,Fiji Victorian CC 1st XI,02 - Jack Quick Shield,Olympic Colts Cricket Club,Shelley Park,T20,45,44,45,33,,,,110.0,40.90909090909091,Olympic Colts CC 1st XI won by 10 runs,False,derived_runs_bat,source_cumulative_validated,True
